angle1,angle2,exposure,salinity,temperature,NAP,penetrability,grainsize,humus,chalk,sp_reachness
32,96,10,29.4,17.5,0.045,253.9,222.5,0.05,2.05,10
62,96,10,29.4,17.5,-1.036,226.9,200,0.3,2.5,10
65,96,10,29.4,17.5,-1.336,237.1,194.5,0.1,3.45,13
55,96,10,29.4,17.5,0.616,248.6,221,0.15,1.6,10
23,96,10,29.4,17.5,-0.684,251.9,202,0.05,2.45,10
129,89,8,29.6,20.8,1.19,250.1,192.5,0.1,2.5,6
126,89,8,29.6,20.8,0.82,257.1,205.5,0.1,1.85,9
52,89,8,29.6,20.8,0.635,247.9,211.5,0.1,1.7,8
26,89,8,29.6,20.8,0.061,248.9,205.5,0.15,2.3,19
143,89,8,29.6,20.8,-1.334,257.9,197,0,2.6,17
41,42,11,27.9,15.8,-0.976,268.4,330.5,0.05,3.4,6
26,42,11,27.9,15.8,1.494,274.4,272.5,0,2.55,1
30,42,11,27.9,15.8,-0.201,272.9,296.5,0.1,2.2,4
38,42,11,27.9,15.8,-0.482,261.4,304,0.05,1.95,3
22,42,11,27.9,15.8,0.167,258.1,323.5,0.1,1.9,3
10,31,11,28.1,18.775,1.768,258.4,293.5,0.05,7.1,1
13,31,11,28.1,18.775,-0.03,253.4,361,0,45.75,2
49,31,11,28.1,18.775,0.46,268.6,330.5,0.05,38.95,2
58,31,11,28.1,18.775,1.367,270.3,289.5,0,4.15,0
13,31,11,28.1,18.775,-0.811,260.3,297,0,28.85,4
20,21,10,29.9,19.8,1.117,252.1,251.5,0,0.85,2
22,21,10,29.9,19.8,-0.503,256.1,265,0,1.6,22
22,21,10,29.9,19.8,0.729,244.1,275.5,0.1,2.15,6
31,21,10,29.9,19.8,1.627,239.1,256.5,0,0.95,0
18,21,10,29.9,19.8,0.054,231.1,254.5,0.1,2.1,6
56,36,11,27.1,17.4,-0.578,221.8,351,0,17.65,5
45,36,11,27.1,17.4,-0.348,206.8,405.5,0.05,13.35,4
6,36,11,27.1,17.4,2.222,189.3,347.5,0,3.8,0
48,36,11,27.1,17.4,-0.893,179.3,336,0.05,15.5,5
16,36,11,27.1,17.4,0.766,172.3,354.5,0,7.35,4
49,77,11,27.4,18.4,0.883,165.8,266,0.05,11.35,2
86,77,11,27.4,18.4,1.786,151.8,256.5,0.0125,12.65,1
312,77,11,27.4,18.4,1.375,193.3,234,0,9.15,1
26,77,11,27.4,18.4,-0.06,226.8,242,0,16.1,3
30,77,11,27.4,18.4,0.367,262.3,284,0,14,4
28,32,10,26.4,20,1.671,296.3,294.5,0,4.95,3
50,32,10,26.4,20,-0.375,342.3,316.5,0.1,7.2,5
55,32,10,26.4,20,-1.005,382.8,355,0,16.7,7
22,32,10,26.4,20,0.17,415.8,362,0,6,5
13,32,10,26.4,20,2.052,449.8,311.5,0,4.75,0
55,96,10,27.1,20.5,-0.356,489,244.5,0.05,5.75,6
63,96,10,27.1,20.5,0.094,531,247.5,0.2,4.95,11
138,96,10,27.1,20.5,-0.002,568.5,223,0,5.4,3
22,96,10,27.1,20.5,2.255,606.5,186,0.05,7.1,0
18,96,10,27.1,20.5,0.865,624,189.5,0,7.1,2
