ID,Place,Year,Date,Group,SEX,AGE,Ringnumber,BodyMass,wint_cond
141,NL,2001,129,female,female,2cy,1404722,125,13625
124,NL,2001,125,malead,male,adult,1404716,280,13625
152,NL,2001,129,malead,male,adult,1404735,245,13625
151,NL,2001,129,malead,male,adult,1404746,215,13625
150,NL,2001,129,malead,male,adult,1404737,175,13625
149,NL,2001,129,female,female,adult,1404745,162,13625
148,NL,2001,129,female,female,adult,1404727,160,13625
147,NL,2001,129,female,female,adult,1404723,153,13625
146,NL,2001,129,female,female,adult,1404725,140,13625
145,NL,2001,129,female,female,adult,1404730,130,13625
144,NL,2001,129,female,female,adult,1404740,130,13625
154,NL,2001,129,malead,male,adult,1404734,265,13625
142,NL,2001,129,female,female,adult,1404742,107,13625
155,NL,2001,129,malead,male,adult,1404728,270,13625
140,NL,2001,129,female,female,2cy,1404724,123,13625
139,NL,2001,129,female,female,2cy,1404741,110,13625
138,NL,2001,129,female,female,2cy,1404744,100,13625
135,NL,2001,128,female,female,>1cy,1408532,127,13625
130,NL,2001,127,female,female,>1cy,1408526,147,13625
129,NL,2001,127,female,female,>1cy,1408528,138,13625
128,NL,2001,127,female,female,>1cy,1408527,122,13625
127,NL,2001,125,malead,male,adult,1404715,285,13625
126,NL,2001,125,malead,male,adult,1404710,280,13625
125,NL,2001,125,malead,male,adult,1404719,280,13625
143,NL,2001,129,female,female,adult,1404743,120,13625
166,NL,2001,132,malead,male,adult,1404754,210,13625
7,NL,2001,95,female,female,>1cy,1408449,102,13625
179,NL,2001,132,malead,male,adult,1404758,310,13625
177,NL,2001,132,malead,male,adult,1404761,285,13625
175,NL,2001,132,malead,male,adult,1404757,283,13625
174,NL,2001,132,malead,male,adult,1404748,280,13625
173,NL,2001,132,malead,male,adult,1404760,277,13625
172,NL,2001,132,malead,male,adult,1404759,275,13625
171,NL,2001,132,malead,male,adult,1404763,270,13625
170,NL,2001,132,malead,male,adult,1404765,265,13625
169,NL,2001,132,malead,male,adult,1404747,260,13625
153,NL,2001,129,malead,male,adult,1404736,250,13625
167,NL,2001,132,malead,male,adult,1404762,233,13625
176,NL,2001,132,malead,male,adult,1404752,285,13625
165,NL,2001,132,malead,male,adult,1404755,200,13625
