"nseason","jd","datediff","nclutch","DoubleBreeders"
2002,132,0,4,0
2002,142,0,5,0
2002,144,0,5,0
2002,144,0,4,0
2002,144,0,5,0
2002,146,0,5,0
2002,146,0,5,0
2002,131,0,8,0
2002,145,0,6,0
2002,145,0,5,0
2002,145,0,5,0
2002,145,0,5,0
2002,147,0,4,0
2002,151,0,5,0
2002,138,0,5,0
2002,146,0,4,0
2002,147,0,5,0
2002,147,0,6,0
2002,149,0,6,0
2002,147,0,5,0
2002,154,0,4,0
2002,147,0,5,0
2002,138,0,5,0
2002,147,0,8,0
2002,148,0,6,0
2002,147,0,5,0
2002,150,0,5,0
2002,147,0,5,0
2002,146,0,5,0
2002,151,0,4,0
2002,149,0,5,0
2002,151,0,5,0
2002,147,0,5,0
2002,148,0,5,0
2002,143,0,4,0
2002,157,0,5,0
2002,144,0,6,0
2002,149,0,6,0
2002,146,0,6,0
2002,146,0,6,0
2002,161,0,4,0
2002,168,0,5,0
2002,164,0,4,0
2002,160,0,5,0
2002,159,0,5,0
2003,141,0,4,0
2003,136,0,6,0
2003,138,0,6,0
2003,136,0,6,0
2003,136,0,7,0
2003,138,0,5,0
2003,139,0,5,0
2003,139,0,5,0
2003,148,0,6,0
2003,146,0,5,0
2003,133,0,5,0
2003,151,0,6,0
2003,141,0,5,0
2003,140,0,6,0
2003,140,0,6,0
2003,139,0,6,0
2003,152,0,5,0
2003,133,0,5,0
2003,133,0,6,0
2003,131,0,5,0
2003,140,0,6,0
2003,146,0,5,0
2003,130,0,3,0
2003,132,0,6,0
2003,140,0,6,0
2003,142,0,4,0
2003,140,0,6,0
2003,139,0,5,0
2003,144,0,5,0
2003,136,0,5,0
2003,142,0,6,0
2003,134,0,6,0
2003,133,0,6,0
2003,140,0,5,0
2003,139,0,6,0
2003,129,0,5,0
2003,141,0,6,0
2003,140,0,5,0
2003,140,0,6,0
2003,131,0,6,0
2003,138,0,5,0
2003,137,0,5,0
2003,139,0,5,0
2003,141,0,5,0
2003,139,0,5,0
2003,138,0,6,0
2003,139,0,6,0
2003,133,0,5,0
2003,131,0,5,0
2003,143,0,6,0
2003,131,0,6,0
2003,136,0,6,0
2003,137,0,5,0
2003,137,0,5,0
2003,140,0,4,0
2003,136,0,6,0
2003,138,0,6,0
2003,139,0,5,0
2003,137,0,6,0
2003,141,0,5,0
2003,122,0,5,0
2003,141,0,5,0
2003,141,0,5,0
2003,143,0,5,0
2003,143,0,5,0
2003,139,0,7,0
2003,133,0,6,0
2003,138,0,6,0
2003,132,0,6,0
2003,139,0,6,0
2003,129,0,5,0
2003,133,0,5,0
2003,139,0,5,0
2003,139,0,5,0
2003,140,0,5,0
2003,140,0,6,0
2003,140,0,6,0
2003,141,0,5,0
2003,138,0,5,0
2003,125,0,5,0
2003,131,0,6,0
2003,133,0,6,0
2003,139,0,6,0
2003,131,0,5,0
2003,130,0,4,0
2003,138,0,6,0
2003,138,0,6,0
2003,141,0,6,0
2003,140,0,6,0
2003,141,0,5,0
2003,140,0,6,0
2003,141,0,5,0
2003,133,0,6,0
2003,139,0,6,0
2003,141,0,5,0
2003,135,0,6,0
2003,141,0,5,0
2003,131,0,6,0
2003,132,0,5,0
2003,141,0,6,0
2003,139,0,5,0
2003,141,0,5,0
2003,133,0,6,0
2003,143,0,6,0
2003,140,0,6,0
2003,138,0,6,0
2003,138,0,6,0
2003,140,0,4,0
2003,142,0,5,0
2003,132,0,5,0
2003,140,0,6,0
2003,141,0,5,0
2003,139,0,5,0
2003,138,0,6,0
2003,136,0,4,0
2003,133,0,6,0
2003,139,0,6,0
2003,141,0,6,0
2003,140,0,6,0
2003,138,0,5,0
2003,140,0,6,0
2003,140,0,6,0
2003,138,0,4,0
2003,138,0,4,0
2003,146,0,5,0
2004,132,0,5,0
2004,133,0,6,0
2004,135,0,6,0
2004,134,0,5,0
2004,131,0,6,0
2004,127,0,5,0
2004,137,0,5,0
2004,130,0,6,0
2004,159,0,5,0
2004,130,0,6,0
2004,133,0,6,0
2004,134,0,5,0
2004,136,0,5,0
2004,131,0,7,0
2004,159,0,5,0
2004,130,0,6,0
2004,132,0,6,0
2004,132,0,5,0
2004,132,0,6,0
2004,136,0,5,0
2004,130,0,7,0
2004,134,0,6,0
2004,133,0,6,0
2004,136,0,5,0
2004,135,0,6,0
2004,136,0,5,0
2004,134,0,7,0
2004,133,0,6,0
2004,132,0,6,0
2004,131,0,5,0
2004,133,0,5,0
2004,135,0,5,0
2004,141,0,4,0
2004,138,0,5,0
2004,135,0,6,0
2004,137,0,5,0
2004,136,0,5,0
2004,131,0,6,0
2004,129,0,6,0
2004,134,0,5,0
2004,130,0,6,0
2004,135,0,5,0
2004,134,0,5,0
2004,133,0,6,0
2004,130,0,6,0
2004,134,0,6,0
2004,129,0,7,0
2004,135,0,4,0
2004,140,0,6,0
2004,135,0,5,0
2004,131,0,7,0
2004,134,0,6,0
2004,136,0,6,0
2004,139,0,5,0
2004,133,0,6,0
2004,134,0,6,0
2004,131,0,6,0
2004,134,0,6,0
2004,131,0,6,0
2004,130,0,6,0
2004,138,0,6,0
2004,130,0,7,0
2004,135,0,6,0
2004,135,0,5,0
2004,134,0,7,0
2004,137,0,7,0
2004,134,0,6,0
2004,134,0,5,0
2004,131,0,6,0
2004,134,0,5,0
2004,135,0,6,0
2004,155,0,4,0
2004,131,0,6,0
2004,132,0,6,0
2004,132,0,6,0
2004,136,0,5,0
2004,135,0,6,0
2004,135,0,6,0
2004,140,0,4,0
2004,137,0,7,0
2004,132,0,6,0
2004,132,0,6,0
2004,135,0,6,0
2004,142,0,5,0
2004,134,0,5,0
2004,135,0,6,0
2004,135,0,6,0
2004,136,0,6,0
2004,131,0,5,0
2004,137,0,6,0
2004,136,0,6,0
2004,133,0,6,0
2004,135,0,5,0
2004,137,0,6,0
2004,134,0,6,0
2004,135,0,7,0
2004,137,0,6,0
2004,135,0,5,0
2004,133,0,5,0
2004,136,0,6,0
2004,137,0,6,0
2004,136,0,6,0
2004,135,0,5,0
2004,134,0,5,0
2004,140,0,5,0
2004,142,0,5,0
2004,141,0,5,0
2004,132,0,6,0
2004,135,0,6,0
2004,135,0,6,0
2004,132,0,6,0
2004,137,0,6,0
2004,135,0,6,0
2004,135,0,6,0
2004,137,0,6,0
2004,128,0,6,0
2004,133,0,6,0
2004,134,0,6,0
2004,131,0,7,0
2004,131,0,6,0
2004,133,0,6,0
2004,135,0,6,0
2004,136,0,6,0
2004,136,0,6,0
2004,135,0,7,0
2004,134,0,6,0
2004,136,0,6,0
2004,135,0,6,0
2004,139,0,6,0
2004,137,0,5,0
2004,136,0,6,0
2004,136,0,6,0
2004,132,0,5,0
2004,136,0,7,0
2004,136,0,6,0
2004,137,0,5,0
2004,130,0,7,0
2004,129,0,6,0
2004,136,0,5,0
2004,132,0,5,0
2004,176,0,5,0
2004,138,0,5,0
2004,134,0,5,0
2004,130,0,5,0
2004,139,0,5,0
2004,137,0,5,0
2004,136,0,6,0
2004,135,0,5,0
2004,135,0,4,0
2004,135,0,5,0
2004,137,0,4,0
2004,132,0,6,0
2004,132,0,5,0
2004,129,0,7,0
2004,138,0,6,0
2004,138,0,7,0
2004,134,0,5,0
2004,135,0,6,0
2004,129,0,6,0
2004,136,0,6,0
2004,134,0,6,0
2004,131,0,5,0
2004,137,0,6,0
2004,135,0,5,0
2004,134,0,6,0
2004,135,0,5,0
2004,135,0,5,0
2004,132,0,5,0
2004,135,0,6,0
2004,137,0,6,0
2004,137,0,5,0
2004,138,0,5,0
2004,136,0,5,0
2004,137,0,6,0
2004,134,0,5,0
2004,151,0,4,0
2004,135,0,5,0
2004,134,0,7,0
2004,134,0,7,0
2004,130,0,6,0
2004,137,0,5,0
2004,131,0,5,0
2004,133,0,5,0
2004,137,0,6,0
2004,137,0,6,0
2004,136,0,6,0
2004,134,0,6,0
2004,133,0,6,0
2004,128,0,5,0
2004,132,0,4,0
2004,134,0,5,0
2004,134,0,6,0
2004,141,0,5,0
2005,159,0,3,0
2005,128,0,6,0
2005,126,0,6,0
2005,132,0,6,0
2005,137,0,4,0
2005,139,0,4,0
2005,154,0,5,0
2005,140,0,5,0
2005,137,0,4,0
2005,139,0,4,0
2005,133,0,6,0
2005,127,0,7,0
2005,135,0,6,0
2005,132,0,6,0
2005,144,0,6,0
2005,142,0,4,0
2005,138,0,5,0
2005,132,0,6,0
2005,133,0,6,0
2005,141,0,6,0
2005,126,0,6,0
2005,127,0,6,0
2005,157,0,5,0
2005,135,0,5,0
2005,133,0,5,0
2005,129,0,5,0
2005,144,0,5,0
2005,144,0,6,0
2005,130,0,6,0
2005,128,0,6,0
2005,149,0,6,0
2005,139,0,6,0
2005,141,0,5,0
2005,137,0,6,0
2005,139,0,5,0
2005,141,0,5,0
2005,126,0,6,0
2005,141,0,3,0
2005,158,0,5,0
2005,133,0,6,0
2005,163,0,5,0
2005,137,0,6,0
2005,135,0,6,0
2005,135,0,6,0
2005,134,0,5,0
2005,138,0,5,0
2005,130,0,6,0
2005,138,0,5,0
2005,135,0,6,0
2005,131,0,6,0
2005,137,0,6,0
2005,132,0,5,0
2005,135,0,6,0
2005,127,0,5,0
2005,135,0,6,0
2005,130,0,5,0
2005,137,0,6,0
2005,134,0,6,0
2005,137,0,5,0
2005,138,0,5,0
2005,131,0,6,0
2005,125,0,7,0
2005,129,0,6,0
2005,132,0,5,0
2005,133,0,8,0
2005,124,0,5,0
2005,150,0,5,0
2005,130,0,6,0
2005,129,0,5,0
2005,131,0,6,0
2005,138,0,6,0
2005,134,0,5,0
2005,130,0,6,0
2005,128,0,6,0
2005,133,0,5,0
2005,140,0,5,0
2005,129,0,8,0
2005,122,0,7,0
2005,131,0,6,0
2005,141,0,4,0
2005,136,0,6,0
2005,130,0,6,0
2005,135,0,6,0
2005,143,0,5,0
2005,129,0,5,0
2005,131,0,5,0
2005,139,0,4,0
2005,137,0,7,0
2005,142,0,6,0
2005,140,0,6,0
2005,153,0,6,0
2005,138,0,5,0
2005,133,0,7,0
2005,136,0,4,0
2005,137,0,5,0
2005,148,0,5,0
2005,133,0,6,0
2005,134,0,6,0
2005,136,0,6,0
2005,134,0,6,0
2005,136,0,5,0
2005,136,0,6,0
2005,133,0,6,0
2005,134,0,6,0
2005,134,0,6,0
2005,134,0,6,0
2005,131,0,6,0
2005,134,0,6,0
2005,134,0,6,0
2005,148,0,5,0
2005,133,0,6,0
2005,138,0,5,0
2005,139,0,6,0
2005,136,0,5,0
2005,132,0,6,0
2005,136,0,5,0
2005,133,0,6,0
2005,135,0,6,0
2005,135,0,7,0
2005,141,0,5,0
2005,132,0,6,0
2005,134,0,6,0
2005,136,0,5,0
2005,139,0,5,0
2006,148,0,4,0
2006,147,0,5,0
2006,146,0,5,0
2006,128,0,5,0
2006,133,0,7,0
2007,135,0,5,0
2007,136,0,5,0
2007,136,0,6,0
2007,151,0,6,0
2007,145,0,5,0
2007,137,0,6,0
2007,145,0,6,0
2007,145,0,5,0
2008,130,0,6,0
2008,128,0,6,0
2008,132,0,5,0
2008,135,0,5,0
2008,127,0,7,0
2008,133,0,6,0
2008,137,0,5,0
2008,130,0,7,0
2008,132,0,6,0
2008,136,0,5,0
2008,135,0,5,0
2008,135,0,6,0
2008,139,0,4,0
2008,146,0,5,0
2008,147,0,6,0
2008,138,0,6,0
2008,135,0,6,0
2008,146,0,6,0
